Godot Engine v3.5.1.stable.custom_build.6fed1ffa3 - https://godotengine.org
OpenGL ES 3.0 Renderer: NVIDIA GeForce GTX 1070/PCIe/SSE2
Async. shader compilation: OFF
 
Player found!
Player health: 99.666667
Player health: 99.333333
Player health: 99
Player health: 98.666667
Player health: 98.333333
Player health: 98
Player health: 97.666667
Player health: 97.333333
Player health: 97
Player health: 96.666666
Player health: 96.333333
Player health: 96
Player health: 95.666666
Player health: 95.333333
Player health: 95
Player health: 94.666666
Player health: 94.333333
Player health: 94
Player health: 93.666666
Player health: 93.333333
Player health: 93
Player health: 92.666666
Player health: 92.333333
Player health: 92
Player health: 91.666666
Player health: 91.333333
Player health: 91
Player health: 90.666666
Player health: 90.333333
Player health: 89.999999
Player health: 89.666666
Player health: 89.333333
Player health: 88.999999
Player health: 88.666666
Player health: 88.333333
Player health: 87.999999
Player health: 87.666666
Player health: 87.333333
Player health: 86.999999
Player health: 86.666666
Player health: 86.333333
Player health: 85.999999
Player health: 85.666666
Player health: 85.333333
Player health: 84.999999
Player health: 84.666666
Player health: 84.333333
Player health: 83.999999
Player health: 83.666666
Player health: 83.333332
Player health: 82.999999
Player health: 82.666666
Player health: 82.333332
Player health: 81.999999
Player health: 81.666666
Player health: 81.333332
Player health: 80.999999
Player health: 80.666666
Player health: 80.333332
Player health: 79.999999
Player health: 79.666666
Player health: 79.333332
Player health: 78.999999
Player health: 78.666666
Player health: 78.333332
Player health: 77.999999
Player health: 77.666666
Player health: 77.333332
Player health: 76.999999
Player health: 76.666665
Player health: 76.333332
Player health: 75.999999
Player health: 75.666665
Player health: 75.333332
Player health: 74.999999
Player health: 74.666665
Player health: 74.333332
Player health: 73.999999
Player health: 73.666665
Player health: 73.333332
Player health: 72.999999
Player health: 72.666665
Player health: 72.333332
Player health: 71.999999
Player health: 71.666665
Player health: 71.333332
Player health: 70.999998
Player health: 70.666665
Player health: 70.333332
Player health: 69.999998
Player health: 69.666665
Player health: 69.333332
Player health: 68.999998
Player health: 68.666665
Player health: 68.333332
Player health: 67.999998
Player health: 67.666665
Player health: 67.333332
Player health: 66.999998
Player health: 66.666665
Player health: 66.333332
Player health: 65.999998
Player health: 65.666665
Player health: 65.333332
Player health: 64.999998
Player health: 64.666665
Player health: 64.333331
Player health: 63.999998
Player health: 63.666665
Player health: 63.333331
Player health: 62.999998
Player health: 62.666665
Player health: 62.333331
Player health: 61.999998
Player health: 61.666665
Player health: 61.333331
Player health: 60.999998
Player health: 60.666665
Player health: 60.333331
Player health: 59.999998
Player health: 59.666665
Player health: 59.333331
Player health: 58.999998
Player health: 58.666665
Player health: 58.333331
Player health: 57.999998
Player health: 57.666664
Player health: 57.333331
Player health: 56.999998
Player health: 56.666664
Player health: 56.333331
Player health: 55.999998
Player health: 55.666664
Player health: 55.333331
Player health: 54.999998
Player health: 54.666664
Player health: 54.333331
Player health: 53.999998
Player health: 53.666664
Player health: 53.333331
Player health: 52.999998
Player health: 52.666664
Player health: 52.333331
Player health: 51.999997
Player health: 51.666664
Player health: 51.333331
Player health: 50.999997
Player health: 50.666664
Player health: 50.333331
Player health: 49.999997
Player health: 49.666664
Player health: 49.333331
Player health: 48.999997
Player health: 48.666664
Player health: 48.333331
Player health: 47.999997
Player health: 47.666664
Player health: 47.333331
Player health: 46.999997
Player health: 46.666664
Player health: 46.333331
Player health: 45.999997
Player health: 45.666664
Player health: 45.33333
Player health: 44.999997
Player health: 44.666664
Player health: 44.33333
Player health: 43.999997
Player health: 43.666664
Player health: 43.33333
Player health: 42.999997
Player health: 42.666664
Player health: 42.33333
Player health: 41.999997
Player health: 41.666664
Player health: 41.33333
Player health: 40.999997
Player health: 40.666664
Player health: 40.33333
Player health: 39.999997
Player health: 39.666664
Player health: 39.33333
Player health: 38.999997
Player health: 38.666663
Player health: 38.33333
Player health: 37.999997
Player health: 37.666663
Player health: 37.33333
Player health: 36.999997
Player health: 36.666663
Player health: 36.33333
Player health: 35.999997
Player health: 35.666663
Player health: 35.33333
Player health: 34.999997
Player health: 34.666663
Player health: 34.33333
Player health: 33.999997
Player health: 33.666663
Player health: 33.33333
Player health: 32.999997
Player health: 32.666663
Player health: 32.33333
Player health: 31.999996
Player health: 31.666663
Player health: 31.33333
Player health: 30.999996
Player health: 30.666663
Player health: 30.33333
Player health: 29.999996
Player health: 29.666663
Player health: 29.33333
Player health: 28.999996
Player health: 28.666663
Player health: 28.33333
Player health: 27.999996
Player health: 27.666663
Player health: 27.33333
